Address,City,State,Zip,Price,pricePerSquareFoot,Bedrooms,Bathrooms,Living Area,Lot Size (Acres),Lot Size (Sqft),Year Built,Days on Zillow,Zestimate,Rent Zestimate,Last Sold Date,Property Type,Listing Status
534 Colony Ct,Warrenton,VA,20186,615000,297,4,3.0,2072,7357.0,,2000,1,609000,3137,2025-01-31,singleFamily,recentlySold
5521 Sacramento Mews Pl,Alexandria,VA,22309,2800,,,,,,,,1,549800,2851,2025-01-31,singleFamily,recentlySold
944 Morgan Trl,Virginia Beach,VA,23464,345000,188,3,2.0,1831,0.4562,19872.072,1965,1,372800,2364,,singleFamily,recentlySold
1200 White Birch Ln,Virginia Beach,VA,23453,286500,183,3,3.0,1567,0.0,,1973,1,286800,1946,,townhome,recentlySold
3712 Oak Creek Ct,Virginia Beach,VA,23452,367000,226,4,2.0,1621,0.0,,1982,1,368900,2175,,singleFamily,recentlySold
1357 W Little Neck Rd,Virginia Beach,VA,23452,2570000,439,5,5.0,5856,3.65,158994.0,2002,1,2414000,5504,,singleFamily,recentlySold
3203 Spruce Pine Rd,Virginia Beach,VA,23453,281000,182,3,3.0,1540,0.0,,1995,1,,2314,,townhome,recentlySold
216 64th St #A,Virginia Beach,VA,23451,455000,547,2,1.0,832,0.0,,1948,1,454300,1678,,condo,recentlySold
821 Shoal Creek Trl,Chesapeake,VA,23320,355000,222,3,3.0,1596,0.0,,1989,1,353500,2030,,townhome,recentlySold
26701 Pennfields Dr,Orange,VA,22960,1270000,363,7,5.0,3495,1.98,86248.8,2017,1,1263000,5869,2025-01-31,singleFamily,recentlySold
11206 Macon Dr,Fredericksburg,VA,22407,394000,212,2,2.0,1857,4637.0,,2003,1,391000,2211,2025-01-31,townhome,recentlySold
11703 S Oxbow Ct,Fredericksburg,VA,22408,542000,234,4,3.0,2318,0.43705234159779616,19038.0,2000,1,535000,2902,2025-01-31,singleFamily,recentlySold
1521 Darbytown Rd,Henrico,VA,23231,170000,283,2,1.0,600,0.8400000000000001,36590.4,1946,1,170900,1225,2025-01-31,singleFamily,recentlySold
7404 Woodman Rd,Henrico,VA,23228,351000,196,3,2.0,1795,1.136,49484.159999999996,1961,1,,2208,2025-01-31,singleFamily,recentlySold
10411 Shaw Dr,Spotsylvania,VA,22553,540000,172,5,3.0,3136,1.75,76230.0,1976,1,532100,2586,2025-01-31,singleFamily,recentlySold
4316 Massaponax Church Rd,Fredericksburg,VA,22408,222500,299,2,1.0,744,1.0,43560.0,1946,1,259200,1635,2025-01-31,singleFamily,recentlySold
10804 Piedmont Dr,Fredericksburg,VA,22407,330000,299,4,1.0,1104,0.3611570247933884,15731.999999999998,1978,1,326700,1975,2025-01-31,singleFamily,recentlySold
9 Farrell Ln,Fredericksburg,VA,22408,285500,227,3,2.0,1260,4074.0,,1970,1,268200,1820,2025-01-31,townhome,recentlySold
7836 Winding Ash Ct,Chesterfield,VA,23832,383000,193,4,3.0,1981,9626.76,,2003,1,387300,2544,2025-01-31,singleFamily,recentlySold
1707 Bantry Dr,Midlothian,VA,23114,466000,250,3,4.0,1862,0.454,19776.24,2004,1,468500,2531,2025-01-31,singleFamily,recentlySold
9125 Acadia Park Dr,Bristow,VA,20136,1060000,154,6,7.0,6868,0.2758953168044077,12018.0,2004,1,1056700,5024,2025-01-31,singleFamily,recentlySold
12604 Crabtree Falls Dr,Bristow,VA,20136,906000,255,5,4.0,3549,0.3236914600550964,14100.0,2004,1,882400,3975,2025-01-31,singleFamily,recentlySold
4683 Carisbrooke Ln,Fairfax,VA,22030,725000,453,3,4.0,1600,1530.0,,2005,1,715600,3066,2025-01-31,townhome,recentlySold
11800 Sunset Hills Rd UNIT 707,Reston,VA,20190,500000,425,2,2.0,1177,,,2005,1,491700,2801,2025-01-31,condo,recentlySold
11305 Aristotle Dr #2205,Fairfax,VA,22030,329900,443,1,1.0,744,,,2003,1,329900,1853,2025-01-31,condo,recentlySold
6018 McClellan Rd,Mechanicsville,VA,23111,395000,260,2,2.0,1520,1.1,47916.00000000001,1987,1,386900,1899,2025-01-31,singleFamily,recentlySold
5012 Tooley Dr,Chester,VA,23831,488500,174,4,4.0,2800,0.48700000000000004,21213.72,2006,1,489500,2995,2025-01-31,singleFamily,recentlySold
1021 N Garfield St APT 640,Arlington,VA,22201,545000,731,1,1.0,746,,,2005,1,544600,2583,2025-01-31,condo,recentlySold
19365 Cypress Ridge Ter UNIT 817,Lansdowne,VA,20176,590000,343,3,3.0,1720,,,2005,1,605800,2963,2025-01-31,condo,recentlySold
205 Meeting House Station Sq APT 407,Herndon,VA,20170,410000,410,2,2.0,1000,,,2005,1,410200,2402,2025-01-31,condo,recentlySold
4927 Chaste Tree Pl,Woodbridge,VA,22192,550000,244,3,4.0,2252,1829.0,,2006,1,548400,2780,2025-01-31,townhome,recentlySold
11309 Woodford Pl,Glen Allen,VA,23059,880000,167,5,6.0,5285,0.5118,22294.008,2006,1,910400,5137,2025-01-31,singleFamily,recentlySold
2665 Prosperity Ave APT 412,Fairfax,VA,22031,555000,451,2,2.0,1231,,,2006,1,524000,2685,2025-01-31,condo,recentlySold
12953 Centre Park Cir APT 317,Herndon,VA,20171,375000,364,2,2.0,1031,,,2005,1,398500,2274,2025-01-31,condo,recentlySold
39 Tripp Ter,Hampton,VA,23666,405000,179,4,3.0,2266,0.0,,1998,1,400400,2487,,singleFamily,recentlySold
55 Riverchase Dr,Hampton,VA,23669,188000,185,2,1.0,1018,0.0,,1990,1,198900,1551,,townhome,recentlySold
206 Tipton Rd,Newport News,VA,23606,325000,175,3,2.0,1856,0.45999999999999996,20037.6,1953,1,323900,2168,,singleFamily,recentlySold
1046 24th St,Newport News,VA,23607,199900,200,3,2.0,1000,0.0,,1972,1,,1477,,singleFamily,recentlySold
847 Hunting Ridge Rd,Winchester,VA,22603,195000,290,2,1.0,672,0.5,21780.0,1957,1,194500,1425,2025-01-31,singleFamily,recentlySold
115 Sutton Ct,Winchester,VA,22601,291500,240,3,2.0,1214,3920.0,,1998,1,280000,1887,2025-01-31,townhome,recentlySold
415 Dusty Ln,Winchester,VA,22602,925000,,,,,115.32,5023339.199999999,,1,,2109,2025-01-31,land,recentlySold
1707 Lansing Ave,Portsmouth,VA,23704,270000,154,3,3.0,1750,0.0,,1947,1,270700,1744,,singleFamily,recentlySold
123 Wall St,Portsmouth,VA,23702,65000,108,2,1.0,600,2613.6,,1930,1,,1303,,singleFamily,recentlySold
1615 Derby Ln,Charlottesville,VA,22911,540000,200,4,4.0,2704,0.25,10890.0,1979,1,556700,3087,2025-01-31,singleFamily,recentlySold
575 Southampton Ct,Charlottesville,VA,22901,309500,216,3,3.0,1432,,,1975,1,291700,2014,2025-01-31,townhome,recentlySold
1060 Carters Island Rd,Goodview,VA,24095,1085000,360,4,3.0,3012,1.63,71002.79999999999,1973,1,1108700,2650,2025-01-31,singleFamily,recentlySold
1451 Massachusetts Ave,Bristol,VA,24201,167000,141,3,1.0,1184,,,1927,1,171400,1440,2025-01-31,singleFamily,recentlySold
248 Hermitage Blvd,Berryville,VA,22611,695000,142,5,5.0,4901,0.39,16988.4,2002,1,,4668,2025-01-31,singleFamily,recentlySold
166 Bell Ct,Danville,VA,24541,170000,151,3,2.0,1128,0.25,10890.0,1980,1,167000,1346,2025-01-31,singleFamily,recentlySold
14 Woodlawn Dr,Palmyra,VA,22963,382000,213,4,3.0,1792,0.45999999999999996,20037.6,1999,1,383800,2158,2025-01-31,singleFamily,recentlySold
6990 Seawell Ave,Gloucester,VA,23061,394900,210,3,3.0,1878,1.8199999999999998,79279.2,1967,1,386300,2383,,singleFamily,recentlySold
2329 Fort Ave,Lynchburg,VA,24501,50500,26,3,2.0,1908,0.47000000000000003,20473.2,1890,1,,1679,2025-01-31,singleFamily,recentlySold
1943 Cleveland Ave,Lynchburg,VA,24503,159900,107,3,2.0,1500,6250.86,,1956,1,,1952,2025-01-31,singleFamily,recentlySold
3212 Eaglebrook Rd,Christiansburg,VA,24073,503000,199,4,3.0,2524,3.867,168446.52,1991,1,471900,2520,2025-01-31,singleFamily,recentlySold
3202 Meadowbrook Dr,Blacksburg,VA,24060,439000,276,3,2.0,1593,1.019,44387.64,1966,1,426000,1717,2025-01-31,singleFamily,recentlySold
240 Virginian Dr,Christiansburg,VA,24073,360000,151,3,3.0,2480,0.40499999999999997,17641.8,2000,1,360800,1863,2025-01-31,singleFamily,recentlySold
3120 N Waterside Dr,Lanexa,VA,23089,406000,288,3,2.0,1408,4.85,211265.99999999997,1983,1,351900,2249,2025-01-31,singleFamily,recentlySold
368 El Paso Ave,Norfolk,VA,23505,359000,150,4,2.0,2400,0.0,,1983,1,361600,2088,,singleFamily,recentlySold
1339 Reservoir Ave,Norfolk,VA,23504,285000,204,3,2.0,1400,0.0,,2004,1,285000,1904,,singleFamily,recentlySold
793 53rd St,Norfolk,VA,23508,423000,221,2,3.0,1918,0.0,,1982,1,418600,2352,,townhome,recentlySold
17425 Pole Run Rd,Disputanta,VA,23842,220000,168,3,1.0,1310,5.0,217800.0,1952,1,249400,1584,2025-01-31,singleFamily,recentlySold
5211 Bickings Ln,Prince George,VA,23875,275000,220,3,2.0,1248,0.47440000000000004,20664.864,1982,1,270800,1511,2025-01-31,singleFamily,recentlySold
712 Maryland Ave,Salem,VA,24153,470000,142,5,3.0,3316,0.41,17859.6,1920,1,487200,1953,2025-01-31,singleFamily,recentlySold
715 Capon Rd,Strasburg,VA,22657,320000,200,3,2.0,1603,0.6890036730945822,30013.0,1986,1,316600,1983,2025-01-31,manufactured,recentlySold
4 Riverview Ct,Suffolk,VA,23434,270000,193,3,3.0,1400,0.0,,1985,1,280100,1802,,townhome,recentlySold
125 Gayles Ln,Front Royal,VA,22630,329900,317,3,2.0,1040,0.43999081726354455,19166.0,2006,1,326800,2016,2025-01-31,singleFamily,recentlySold
